Airline IATA,Source airport IATA,Destination airport IATA,Distance
AA,ORD,BDL,1256.9832454841692
AA,ORD,BNA,659.4850707493616
AA,ORD,BOS,1391.078325285235
AA,ORD,BWI,997.9705182564419
AA,ORD,CLE,506.5652697563044
AA,ORD,CLT,964.5786715815266
AA,ORD,CVG,425.3843061709205
AA,ORD,DEN,1426.0220157520105
AA,ORD,DFW,1290.6453049606575
AA,ORD,DTW,376.3886323781449
AA,ORD,EWR,1154.4536331215895
AA,ORD,IND,285.5951889162557
AA,ORD,JFK,1187.8355870120465
AA,ORD,LAS,2431.6928481174373
AA,ORD,LAX,2802.1160076904785
AA,ORD,MCO,1620.0831318457797
AA,ORD,MKE,107.70559301189579
AA,ORD,MSP,536.9953198971815
AA,ORD,MSY,1349.2498778486827
AA,ORD,OKC,1114.2406246539097
AA,ORD,OMA,667.8847593393182
AA,ORD,PDX,2791.6556313778096
AA,ORD,PHL,1088.3236698576663
AA,ORD,PHX,2313.4258893330652
AA,ORD,RDU,1039.2145694438711
AA,ORD,SEA,2761.751624349704
AA,ORD,SLC,2006.1548248592053
AA,ORD,STL,415.4186613857083
AA,PDX,BOS,4072.319804493596
AA,PDX,CLT,3664.493683355979
AA,PDX,DFW,2597.0509238361133
AA,PDX,LAX,1343.0896596192872
AA,PDX,ORD,2791.6556313778096
AA,PDX,PHL,3862.5536924541652
AA,PDX,PHX,1625.0856639054705
AA,PHL,ATL,1071.592953109364
AA,PHL,BDL,314.6703367887143
AA,PHL,BNA,1084.3003930553236
AA,PHL,BOS,450.1419758792534
AA,PHL,BWI,144.85222737502477
AA,PHL,CHS,886.1042894797829
AA,PHL,CLE,583.1229272295406
AA,PHL,CLT,721.4732221544514
AA,PHL,CVG,814.0504907798611
AA,PHL,DEN,2500.3905990396725
AA,PHL,DFW,2092.8766575973477
AA,PHL,DTW,728.0522353255226
AA,PHL,EWR,128.84356361715245
AA,PHL,IND,943.9041916961392
AA,PHL,LAS,3494.414109617585
AA,PHL,LAX,3856.314910792288
